id,description
-4wsuPCjDBc_5_15,"In the image, a small, light brown chipmunk is perched on a table inside a birdcage. The chipmunk appears to be grooming itself, with its front paws raised and its head turned to the side. The birdcage is set against a backdrop of a wooden wall and a window"
-7KMZQEsJW4_205_208,"In the image, a man wearing a blue shirt and gray pants is standing in a grassy area next to a large rock covered in snow. He is holding a camera in one hand and a fishing rod in the other. The man appears to be taking a photograph or filming something in the snow-covered area."
-8y1Q0rA3n8_108_115,"In the image, a man dressed in a blue shirt and black pants is standing in front of a black pedestal. He is holding a cane in his right hand and appears to be in motion, possibly walking or gesturing. The background features a large tree and a building, suggesting an outdoor setting."
-8y1Q0rA3n8_95_102,The image shows a man in a black shirt wielding a sword in front of a stone wall with a red banner featuring an illustration of a man's face. The man appears to be performing a sword fight or demonstration.
-9CUm-2cui8_39_44,"The image captures a close-up view of a stainless steel pot filled with water, where several green chili peppers are being boiled. The water is bubbling vigorously, indicating that the peppers are being cooked at a high temperature."
-AwoiGR6c8M_10_14,"A young boy is seated at a piano in a dimly lit room, playing a piece of music. The room features a window with red curtains, a lamp on the piano, and a chair in the background."
-Cv5LsqKUXc_17_25,"A woman in a purple sweater is preparing food in a kitchen, surrounded by bowls, a microwave, and a potted plant. A small dog sits on the counter next to her."
-Cv5LsqKUXc_71_76,"The image shows a close-up of a person pouring a white powdery substance, likely flour, from a glass bowl into a black mixing bowl on a wooden surface."
-DKuLXYoY3g_14_20,"The image captures a close-up view of a wooden floor marked with green and red lines, likely indicating boundaries or zones within a gymnasium or similar indoor sports facility. A person's foot is visible on the right side of the frame, suggesting movement or action."
-DRy7rBg0IQ_31_37,"The image shows a person in a blue swimsuit swimming in an indoor pool. The person is in the midst of a dive, with their arms extended forward and legs bent at the knees. In the background, there are two other individuals standing at the pool's edge, observing the swimmer."
-FugkxLmGO4_5_16,"Two huskies, one adult and one puppy, are inside a wire cage. The adult husky is standing, while the puppy is sitting. The adult husky is looking towards the camera, while the puppy is looking away."
-Ms9tsWmhyU_80_95,"In the image, a person is playing a flute in a room with a white tiled wall. The individual is wearing a black sleeveless top and is seated in front of a black piano. The person is holding the flute with both hands and appears to be in the middle of a performance."
-YI0cxuNcq8_262_272,"In the image, a woman is lying on her back on a blue exercise mat in a room with a white wall in the background. She is wearing a gray tank top and black shorts, and she has a headband on. The woman is performing a plank exercise, with her hands placed under her shoulders and her feet"
